epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.895,4.43946,5.41098,4.21174,0,0,0,0,4.87421,5.58357,4.11231,8.21918e-05,8.21918e-05,8.21918e-05
2,1525.27,3.98834,5.2456,3.9944,0.00015,0.0373,0.00015,4e-05,3.42884,4.65401,3.52008,0.00015897,0.00015897,0.00015897
3,2311.92,3.3549,4.94601,3.70958,0.00457,0.1067,0.00331,0.00125,3.15964,4.62554,3.0412,0.000229149,0.000229149,0.000229149
4,3107.64,2.9916,4.5364,3.40978,0.00845,0.13254,0.00923,0.00292,3.58526,4.46164,3.22921,0.0002203,0.0002203,0.0002203
5,3821.6,2.80703,4.21713,3.20755,0.01118,0.36352,0.02661,0.01279,2.94118,3.75675,2.65132,0.0002104,0.0002104,0.0002104
